Numero;Partie;NbJoueurs;Titre;Gagnant;Premium;Vocale;Mumble;Anonyme;Sans Points;Selective;MDJ;Capitaine;VO;VC;St-Patrick;Halloween;Créateur;dateDebut;dateFin;heureDebut;heureFin;Duree;nbVotes;nbDevotes;NbInterventions;Simple Villageois;Loup-Garou;Voyante;Salvateur;Sorcière;Chasseur;Chasseur Bavard;Cupidon;Ancien;Loup-Garou Blanc;Chaman;Voleur;Petite Fille;Idiot du Village;Bouc émissaire;Joueur de Flûte;Enfant Sauvage;Corbeau;Villageois-Villageois;Ange;Infect Père des Loups;Grand Méchant Loup;Soeurs;Montreur d'Ours;Renard;Chien Loup;Frères;Chevalier à l'Epée rouillée;Marionnettiste;Juge Bègue;Voyante Bavarde;Lapin Blanc;Ankou;Noctambule;Couple
3695229;Spéciale;14;Première partie hyp1/hyp2;Loups-Garous;None;False;False;False;None;None;True;False;False;False;None;None;caus909;30/11/2015;30/11/2015;00h16;00h58;42;88;1;621;1;3;0;1;1;1;0;1;0;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Surimi-Symphonian
3695231;Fun;6;Suicideboy;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Suicideboy;30/11/2015;30/11/2015;01h17;01h17;%s;0;0;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;None
3695233;Carnage;6;Bobot;Loups-Garous;None;False;False;False;None;None;False;False;False;False;None;None;Bobot;30/11/2015;30/11/2015;01h39;01h39;1;0;0;0;0;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;None
3695236;Normale;12;Y'a quelqu'un ?;Loups-Garous;None;False;False;False;None;None;False;False;False;False;None;None;caus909;30/11/2015;30/11/2015;04h30;04h53;23;36;0;179;6;3;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;None
3695241;Fun;12;Twinkle;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Cookiesx;30/11/2015;30/11/2015;04h42;04h59;17;30;2;219;0;3;0;1;1;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;rafiki25-Cookiesx
3695244;Normale;0;TUTORIEL;Villageois;None;False;False;False;None;None;False;False;False;False;None;None; ;01/01/1970;01/01/1970;04h35;04h40;24147580;8;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;None
3695247;Fun;12;Patapouf;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Champagna;30/11/2015;30/11/2015;04h57;05h20;24;30;1;178;0;2;0;1;1;1;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;Themystic-Clairedu22
3695248;Fun;6;Lapinous garous;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Thebud;30/11/2015;30/11/2015;05h07;05h14;7;8;1;54;3;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;None
3695252;Fun;9;PalestinVaincra;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Craqui;30/11/2015;30/11/2015;05h14;05h22;8;11;1;32;0;2;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;None
3695254;Fun;13;Twinkle;Loups-Garous;None;False;False;False;None;None;False;False;False;False;None;None;Cookiesx;30/11/2015;30/11/2015;05h06;05h23;18;14;0;161;0;2;0;1;1;1;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;Cookiesx-wydadman
